# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wOut,wIn
-10.0,-10.0,-1.9347177012788285e-28,8.614342296433265e-81
-10.0,-9.797979797979798,-1.7992529701393604e-27,4.4228457350417405e-79
-10.0,-9.595959595959595,-1.5797562205365228e-26,2.092856767437348e-77
-10.0,-9.393939393939394,-1.308384222613014e-25,9.127398959054113e-76
-10.0,-9.191919191919192,-1.0211422391734061e-24,3.6689082658926745e-74
-10.0,-8.98989898989899,-7.500993827094763e-24,1.3593215007607308e-72
-10.0,-8.787878787878787,-5.178502574732155e-23,4.642127064450748e-71
-10.0,-8.585858585858587,-3.354118906429273e-22,1.4612891179034968e-69
-10.0,-8.383838383838384,-2.0337612444489706e-21,4.240286178623762e-68
-10.0,-8.181818181818182,-1.1513001133593444e-20,1.1342545306824113e-66
-10.0,-7.979797979797979,-6.063669909498728e-20,2.797045431996107e-65
-10.0,-7.777777777777778,-2.9577840056172517e-19,6.35887592735177e-64
-10.0,-7.575757575757576,-1.3280719244507411e-18,1.3328218451174077e-62
-10.0,-7.373737373737374,-5.442360610805408e-18,2.5756970080116505e-61
-10.0,-7.171717171717171,-2.010167659427741e-17,4.589541347463733e-60
-10.0,-6.96969696969697,-6.562994982688387e-17,7.540801212532063e-59
-10.0,-6.767676767676768,-1.8323643179622834e-16,1.1425156809709357e-57
-10.0,-6.565656565656566,-4.100420636336519e-16,1.5963459834370011e-56
-10.0,-6.363636363636363,-6.242105427603377e-16,2.0570112991825296e-55
-10.0,-6.161616161616162,-2.593445817078497e-16,2.4446497856789054e-54
-10.0,-5.959595959595959,7.673896276057177e-16,2.6797442510014294e-53
-10.0,-5.757575757575758,-6.0602325353125654e-15,2.7095303001279734e-52
-10.0,-5.555555555555555,-5.4245461732624405e-14,2.5272412402206668e-51
-10.0,-5.353535353535354,-6.352319075481623e-14,2.1746042281940967e-50
-10.0,-5.151515151515151,1.8565509452709926e-12,1.726331191725753e-49
-10.0,-4.94949494949495,2.060083033374808e-11,1.2644699905115137e-48
-10.0,-4.747474747474747,1.4068382904560493e-10,8.546025325211482e-48
-10.0,-4.545454545454546,7.565150152504378e-10,5.329939228792872e-47
-10.0,-4.343434343434343,3.4616654723991612e-09,3.06771028214732e-46
-10.0,-4.141414141414142,1.3976539791188383e-08,1.629567171317143e-45
-10.0,-3.9393939393939394,5.081793590386073e-08,7.989654846880423e-45
-10.0,-3.737373737373738,1.6853219441242718e-07,3.6158766021549117e-44
-10.0,-3.5353535353535355,5.141935309116007e-07,1.5106397240371622e-43
-10.0,-3.333333333333333,1.4520661063079663e-06,5.826416603820519e-43
-10.0,-3.1313131313131315,3.8124157832308587e-06,2.0747544015806646e-42
-10.0,-2.929292929292929,9.33757154973466e-06,6.82161153721469e-42
-10.0,-2.7272727272727275,2.1390531465348215e-05,2.0710579429615034e-41
-10.0,-2.525252525252525,4.5925804793274474e-05,5.806459522478889e-41
-10.0,-2.3232323232323235,9.256649748568957e-05,1.5033920486837493e-40
-10.0,-2.121212121212121,0.00017538404653165296,3.5950199638424366e-40
-10.0,-1.9191919191919187,0.0003127058908273352,7.940057223116274e-40
-10.0,-1.717171717171718,0.0005251426899940655,1.61980468236959e-39
-10.0,-1.5151515151515156,0.0008312480050323695,3.052389725316029e-39
-10.0,-1.3131313131313131,0.0012409547364758003,5.313434077554613e-39
-10.0,-1.1111111111111107,0.0017480976446895883,8.544490110713518e-39
-10.0,-0.9090909090909101,0.0023245107510626558,1.2693689388727388e-38
-10.0,-0.7070707070707076,0.002918702527146142,1.7421815222428109e-38
-10.0,-0.5050505050505052,0.003461348478760407,2.2090892211434105e-38
-10.0,-0.30303030303030276,0.003877700767115522,2.5879469855340426e-38
-10.0,-0.10101010101010033,0.004104180904626517,2.801077309841721e-38
-10.0,0.10101010101010033,0.004104180904626517,2.801077309841721e-38
-10.0,0.30303030303030276,0.003877700767115522,2.5879469855340426e-38
-10.0,0.5050505050505052,0.003461348478760407,2.2090892211434105e-38
-10.0,0.7070707070707076,0.002918702527146142,1.7421815222428109e-38
-10.0,0.9090909090909083,0.0023245107510626644,1.2693689388727388e-38
-10.0,1.1111111111111107,0.0017480976446895883,8.544490110713518e-39
-10.0,1.3131313131313131,0.0012409547364758003,5.313434077554613e-39
-10.0,1.5151515151515156,0.0008312480050323695,3.052389725316029e-39
-10.0,1.7171717171717162,0.0005251426899940678,1.6198046823696128e-39
-10.0,1.9191919191919187,0.0003127058908273352,7.940057223116274e-40
-10.0,2.121212121212121,0.00017538404653165296,3.5950199638424366e-40
-10.0,2.3232323232323235,9.256649748568957e-05,1.5033920486837493e-40
-10.0,2.525252525252524,4.592580479327459e-05,5.806459522478887e-41
-10.0,2.7272727272727266,2.1390531465348347e-05,2.071057942961503e-41
-10.0,2.929292929292929,9.33757154973466e-06,6.82161153721469e-42
-10.0,3.1313131313131315,3.8124157832308587e-06,2.0747544015806646e-42
-10.0,3.333333333333334,1.4520661063079612e-06,5.82641660382052e-43
-10.0,3.5353535353535346,5.141935309116033e-07,1.510639724037162e-43
-10.0,3.737373737373737,1.6853219441242845e-07,3.615876602154911e-44
-10.0,3.9393939393939394,5.081793590386073e-08,7.989654846880423e-45
-10.0,4.141414141414142,1.3976539791188383e-08,1.629567171317143e-45
-10.0,4.3434343434343425,3.4616654723991976e-09,3.067710282147319e-46
-10.0,4.545454545454545,7.565150152504433e-10,5.329939228792945e-47
-10.0,4.747474747474747,1.4068382904560493e-10,8.546025325211482e-48
-10.0,4.94949494949495,2.060083033374808e-11,1.2644699905115137e-48
-10.0,5.1515151515151505,1.8565509452714648e-12,1.7263311917257525e-49
-10.0,5.353535353535353,-6.352319075481668e-14,2.174604228194158e-50
-10.0,5.555555555555555,-5.4245461732624405e-14,2.5272412402206668e-51
-10.0,5.757575757575758,-6.0602325353125654e-15,2.7095303001279734e-52
-10.0,5.9595959595959584,7.673896276057177e-16,2.679744251001505e-53
-10.0,6.161616161616163,-2.593445817078497e-16,2.444649785678906e-54
-10.0,6.363636363636363,-6.242105427603377e-16,2.0570112991825296e-55
-10.0,6.565656565656564,-4.100420636336578e-16,1.596345983437046e-56
-10.0,6.767676767676768,-1.8323643179622834e-16,1.1425156809709357e-57
-10.0,6.969696969696969,-6.562994982688559e-17,7.540801212532275e-59
-10.0,7.171717171717173,-2.010167659427663e-17,4.589541347463605e-60
-10.0,7.373737373737374,-5.442360610805408e-18,2.5756970080116505e-61
-10.0,7.575757575757574,-1.328071924450749e-18,1.3328218451174449e-62
-10.0,7.777777777777779,-2.9577840056172517e-19,6.358875927351773e-64
-10.0,7.979797979797979,-6.063669909498728e-20,2.797045431996107e-65
-10.0,8.18181818181818,-1.1513001133593724e-20,1.1342545306824427e-66
-10.0,8.383838383838384,-2.0337612444489706e-21,4.240286178623762e-68
-10.0,8.585858585858585,-3.354118906429357e-22,1.461289117903496e-69
-10.0,8.787878787878789,-5.178502574732089e-23,4.642127064450488e-71
-10.0,8.98989898989899,-7.500993827094763e-24,1.3593215007607308e-72
-10.0,9.19191919191919,-1.0211422391734199e-24,3.668908265892882e-74
-10.0,9.393939393939394,-1.308384222613014e-25,9.127398959054113e-76
-10.0,9.595959595959595,-1.5797562205365228e-26,2.092856767437348e-77
-10.0,9.7979797979798,-1.7992529701393392e-27,4.422845735041616e-79
-10.0,10.0,-1.9347177012788285e-28,8.614342296433265e-81
-9.797979797979798,-10.0,-3.2183034085544944e-28,4.4228457350417405e-79
-9.797979797979798,-9.797979797979798,-3.0058917725213066e-27,2.2679336627786333e-77
-9.797979797979798,-9.595959595959595,-2.6518655461632e-26,1.0717796984982617e-75
-9.797979797979798,-9.393939393939394,-2.2081123001138223e-25,4.668088837638009e-74
-9.797979797979798,-9.191919191919192,-1.7337429397965154e-24,1.873888026180071e-72
-9.797979797979798,-8.98989898989899,-1.282251956060241e-23,6.933178895699914e-71
-9.797979797979798,-8.787878787878787,-8.9213133176838e-23,2.3643923181411034e-69
-9.797979797979798,-8.585858585858587,-5.830129270982843e-22,7.432244519232512e-68
-9.797979797979798,-8.383838383838384,-3.5719068033341704e-21,2.1535232957266036e-66
-9.797979797979798,-8.181818181818182,-2.046804237753775e-20,5.752081147943509e-65
-9.797979797979798,-7.979797979797979,-1.0937593925014482e-19,1.4163282179425088e-63
-9.797979797979798,-7.777777777777778,-5.429760212281771e-19,3.2150286943666624e-62
-9.797979797979798,-7.575757575757576,-2.4915182654926625e-18,6.728331350935176e-61
-9.797979797979798,-7.373737373737374,-1.0495116806889262e-17,1.2982309850048675e-59
-9.797979797979798,-7.171717171717171,-4.018984710100145e-17,2.3096179916036494e-58
-9.797979797979798,-6.96969696969697,-1.378883776427078e-16,3.788736736221866e-57
-9.797979797979798,-6.767676767676768,-4.1407934305507905e-16,5.731104287816493e-56
-9.797979797979798,-6.565656565656566,-1.0441154582947844e-15,7.994592399660256e-55
-9.797979797979798,-6.363636363636363,-2.0250377172008587e-15,1.0284756242721512e-53
-9.797979797979798,-6.161616161616162,-2.3192202284553368e-15,1.220275413225984e-52
-9.797979797979798,-5.959595959595959,6.009414388916549e-16,1.335412357103991e-51
-9.797979797979798,-5.757575757575758,1.3034650664968505e-15,1.3480159314124124e-50
-9.797979797979798,-5.555555555555555,-5.9232879680449e-14,1.2552380690297742e-49
-9.797979797979798,-5.353535353535354,-3.084021683563686e-13,1.0782980487359848e-48
-9.797979797979798,-5.151515151515151,2.6833780236902396e-13,8.5460253252116e-48
-9.797979797979798,-4.94949494949495,1.4346002687832506e-11,6.249336408527293e-47
-9.797979797979798,-4.747474747474747,1.2599781435669855e-10,4.216774657578058e-46
-9.797979797979798,-4.545454545454546,7.616932774401171e-10,2.6256485669593473e-45
-9.797979797979798,-4.343434343434343,3.738510823399244e-09,1.5088147857179651e-44
-9.797979797979798,-4.141414141414142,1.5826217198440184e-08,8.002250823187693e-44
-9.797979797979798,-3.9393939393939394,5.9551970488291664e-08,3.9174121618467224e-43
