# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'f_out': 173, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wIn1,wIn2,wIn3,wOut,wOutP,wOutS
-6.0,-6.0,7.277638461452785e-119,1.8355127058403437e-58,2.405623639953486e-41,6.275383999191603e-11,6.131824849158291e-14,5.7995685591752676e-95
-6.0,-5.878787878787879,8.843381678447384e-119,2.8161528536576823e-58,4.79561924087553e-41,8.25039551672894e-11,8.440691217184862e-14,7.556127020804763e-95
-6.0,-5.757575757575758,1.070333607766867e-118,4.283129429088202e-58,9.426426209621844e-41,1.0786586694209202e-10,1.1543403349932486e-13,9.791694214739416e-95
-6.0,-5.636363636363637,1.2903064109002968e-118,6.457617532774499e-58,1.8269843093889291e-40,1.402387767216533e-10,1.5684017401414721e-13,1.262035188460707e-94
-6.0,-5.515151515151516,1.5493140100293266e-118,9.65138381235661e-58,3.491466906540534e-40,1.8131218773905232e-10,2.1171339973289203e-13,1.6178569367206825e-94
-6.0,-5.393939393939394,1.8529296946540379e-118,1.4299241487076787e-57,6.579098818215152e-40,2.331098840981508e-10,2.839271762078179e-13,2.0628316957053588e-94
-6.0,-5.2727272727272725,2.2072490298789627e-118,2.1001125044643656e-57,1.2223913168000332e-39,2.98036315376273e-10,3.782972345350037e-13,2.6160287078636983e-94
-6.0,-5.151515151515151,2.6188862054990435e-118,3.057583086483424e-57,2.239440200718935e-39,3.789243284381992e-10,5.00756915969953e-13,3.299713584063495e-94
-6.0,-5.03030303030303,3.0949584411729827e-118,4.4128597029887173e-57,4.0453308923173754e-39,4.790828235680538e-10,6.585493598532506e-13,4.139663241861286e-94
-6.0,-4.909090909090909,3.6430565735238118e-118,6.313469975998876e-57,7.20533204082333e-39,6.023425154369159e-10,8.604334668756952e-13,5.165457716101827e-94
