# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
100000.0,170,-0.24750753165616293,0.08036439252191398,2.0335102887406835,1.9942101644228956
149494.94949494948,170,-0.37134487211456835,0.12040788622511672,2.0246017060573047,1.984868087105498
198989.898989899,170,-0.49661003047718905,0.16091560188628723,2.0128191327415785,1.972774518839694
248484.8484848485,170,-0.6237878710485327,0.20204358052729435,1.9988227402625935,1.9585792358319694
297979.797979798,170,-0.7533692580953257,0.2439503100135831,1.9833029780798728,1.9429585688418822
347474.7474747475,170,-0.8858539242833509,0.28679729609568966,1.9669148128761442,1.9265514350366875
396969.696969697,170,-1.0217526434280357,0.33074967470166455,1.9502321422346895,1.9099153299599863
446464.6464646465,170,-1.1615892817616922,0.37597684497058526,1.933723737990932,1.8935034701543079
495959.595959596,170,-1.3059028501570702,0.4226531207706726,1.9177473775117604,1.8776597017114778
545454.5454545454,170,-1.4552495966615129,0.4709584019129229,1.9025567171054436,1.8626257717117007
594949.494949495,170,-1.6102051579299628,0.5210788672097083,1.8883154179124237,1.8485555586043918
644444.4444444445,170,-1.77136678190583,0.5732076918801745,1.8751141268173996,1.835531958643355
693939.393939394,170,-1.9393556320572676,0.6275457919945814,1.8629873462065387,1.8235835452994875
743434.3434343435,170,-2.1148191828626652,0.6843025987927197,1.851928516540636,1.8126993889029794
792929.292929293,170,-2.298433716184408,0.7436968658437184,1.8419025920919176,1.8028413597876192
842424.2424242424,170,-2.4909069283674192,0.8059575121491637,1.832856000758358,1.7939538317384254
891919.191919192,170,-2.6929806582301605,0.87132450443401,1.8247242128369132,1.785971023945779
941414.1414141415,170,-2.905433746531294,0.940049782022922,1.8174372881887166,1.7788223558262999
990909.0909090909,170,-3.129085037974379,1.0123982278649921,1.810923801500637,1.7724362142443084
1040404.0404040405,170,-3.3647965373465105,1.0886486894482956,1.805113515526951,1.7667425000940649
1089898.98989899,170,-3.613476731971569,1.1690950535384537,1.7999391168803136,1.7616742646707946
1139393.9393939395,170,-3.876084093294132,1.2540473788830253,1.7953372679608386,1.7571686849898898
1188888.888888889,170,-4.153630771096933,1.3438330912471583,1.791249171985693,1.753167570812149
1238383.8383838385,170,-4.447186494595013,1.4387982453862198,1.7876207999201301,1.7496175484418846
1287878.787878788,170,-4.757882695445509,1.5393088588192132,1.7844028892867523,1.746470028096243
1337373.7373737374,170,-5.086916868566458,1.6457523225435455,1.7815507946407951,1.7436810320057272
1386868.686868687,170,-5.435557187573786,1.7585388941282967,1.779024246623758,1.7412109380315965
1436363.6363636365,170,-5.8051473926267,1.8781032789406715,1.7767870595095454,1.739024177020991
1485858.585858586,170,-6.197111969521119,2.004906305599997,1.7748068147211384,1.7370889100468578
1535353.5353535356,170,-6.6129616399933155,2.1394367021168277,1.7730545388156351,1.7353767029958254
